JOB ID          REPLACED PAGE   PLACED PAGE     FRAME           STATUS          
21              35              0               108             NR:NM           
21              12              10              117             NR:NM           
10              37              5               21              NR:NM           
21              0               43              108             NR:NM           
7               47              8               92              NR:NM           
11              3               13              76              NR:NM           
21              10              19              117             NR:NM           
4               29              1               3               NR:NM           
10              8               42              57              NR:NM           
21              36              21              28              NR:NM           
21              16              27              110             NR:NM           
7               7               49              6               NR:NM           
21              19              9               117             NR:NM           
17              7               1               11              NR:NM           
8               5               16              55              NR:NM           
11              24              26              10              NR:NM           
21              21              23              28              NR:NM           
21              9               19              117             NR:NM           
9               5               35              25              NR:NM           
21              23              9               28              NR:NM           
21              19              16              117             NR:NM           
17              0               7               36              NR:NM           
21              9               29              28              NR:NM           
21              16              30              117             NR:NM           
10              5               12              21              NR:NM           
5               34              19              2               NR:NM           
9               24              44              97              NR:NM           
1               5               13              16              NR:M            
21              27              5               110             NR:NM           
7               59              50              85              NR:NM           
22              5               12              118             NR:M            
8               6               1               46              NR:NM           
21              29              0               28              NR:NM           
11              13              2               76              NR:NM           
10              42              28              57              NR:NM           
4               30              47              35              NR:NM           
5               45              4               19              NR:NM           
21              5               6               110             NR:NM           
21              30              2               117             NR:NM           
21              6               30              110             NR:NM           
11              26              0               10              NR:NM           
21              2               10              117             NR:NM           
5               19              27              2               NR:NM           
21              30              36              110             NR:NM           
1               9               7               0               NR:NM           
21              10              21              117             NR:NM           
21              36              22              110             NR:NM           
7               8               51              92              NR:NM           
22              22              24              119             NR:NM           
21              21              4               117             NR:NM           
17              3               5               24              NR:M            
21              38              17              113             NR:NM           
10              12              23              21              NR:NM           
11              2               12              76              NR:NM           
21              22              18              110             NR:NM           
21              17              5               113             NR:NM           
21              18              24              110             NR:NM           
21              5               28              113             NR:NM           
1               10              2               38              NR:M            
21              24              6               110             NR:NM           
7               49              101             6               NR:NM           
21              40              37              116             NR:NM           
21              6               8               110             NR:NM           
17              7               3               36              NR:NM           
4               1               22              3               NR:NM           
5               4               5               19              NR:NM           
20              13              0               8               NR:NM           
22              15              3               32              NR:M            
21              37              5               116             NR:NM           
8               16              9               55              NR:NM           
20              17              21              63              NR:NM           
10              28              31              57              NR:NM           
20              18              13              88              NR:NM           
1               7               14              0               NR:NM           
22              24              28              119             NR:NM           
17              5               0               24              NR:NM           
20              0               6               8               NR:NM           
11              28              24              26              NR:NM           
10              23              38              21              NR:NM           
4               33              51              74              NR:NM           
5               46              54              82              NR:NM           
20              13              11              88              NR:NM           
7               50              76              85              NR:NM           
21              8               12              110             NR:NM           
20              6               10              8               NR:NM           
17              1               7               11              NR:M            
20              11              41              88              NR:NM           
22              3               13              32              NR:NM           
20              10              13              8               NR:NM           
10              31              39              57              NR:NM           
20              20              15              25              NR:NM           
5               5               43              19              NR:NM           
7               51              52              92              NR:NM           
21              5               23              116             NR:NM           
8               32              30              7               NR:NM           
4               22              11              3               NR:NM           
7               65              60              106             NR:NM           
8               1               16              46              NR:M            
11              0               22              10              NR:NM           
10              38              11              21              NR:NM           
20              13              37              8               NR:NM           
21              12              31              110             NR:NM           
17              3               5               36              NR:M            
4               38              10              27              NR:NM           
5               47              35              62              NR:NM           
10              9               38              52              NR:M            
17              0               1               24              NR:NM           
21              42              38              111             NR:NM           
11              24              18              26              NR:NM           
22              28              2               119             NR:NM           
5               43              53              19              NR:NM           
7               52              89              92              NR:NM           
17              5               0               36              NR:NM           
20              15              25              25              NR:NM           
8               30              4               7               NR:NM           
21              31              39              110             NR:NM           
22              12              0               118             NR:M            
11              22              5               10              NR:NM           
21              38              11              111             NR:NM           
22              2               12              119             NR:NM           
11              18              6               26              NR:NM           
7               66              83              18              NR:NM           
10              11              20              21              NR:NM           
20              22              11              70              NR:NM           
8               8               15              59              NR:M            
11              5               25              10              NR:NM           
7               72              35              58              NR:NM           
5               35              40              62              NR:NM           
21              39              6               110             NR:NM           
4               40              41              5               NR:NM           
17              1               2               24              NR:NM           
10              38              29              52              NR:NM           
20              25              30              25              NR:NM           
21              43              38              108             NR:NM           
8               4               11              7               NR:NM           
11              6               3               26              NR:NM           
7               75              70              44              NR:NM           
5               49              1               4               NR:NM           
17              0               3               36              NR:M            
10              20              43              21              NR:NM           
20              29              27              94              NR:NM           
21              6               21              110             NR:NM           
11              25              1               10              NR:NM           
7               35              39              58              NR:NM           
4               10              44              27              NR:NM           
5               40              6               62              NR:NM           
17              2               5               24              NR:NM           
10              29              33              52              NR:NM           
22              13              24              32              NR:M            
20              30              18              25              NR:NM           
8               15              24              59              NR:NM           
21              38              45              108             NR:NM           
5               50              66              23              NR:NM           
7               70              57              44              NR:NM           
17              3               2               36              NR:NM           
10              6               10              39              NR:M            
8               11              7               7               NR:NM           
11              3               9               26              NR:NM           
7               76              73              85              NR:NM           
20              35              7               97              NR:NM           
5               6               9               62              NR:NM           
17              5               0               24              NR:NM           
10              15              9               72              NR:M            
8               24              34              59              NR:NM           
11              1               21              10              NR:NM           
5               53              46              19              NR:NM           
19              6               17              30              NR:NM           
17              2               6               36              NR:NM           
19              8               12              123             NR:NM           
10              10              28              39              NR:NM           
4               41              17              5               NR:NM           
20              18              6               25              NR:NM           
11              8               7               71              NR:M            
19              15              27              38              NR:NM           
7               57              26              44              NR:NM           
